date,Close,Bitcoin,Blockchain,Crypto,Cryptocurrency,Economy,Ethereum,Gold,Market,NFT,,,,,,,,
03/06/16,569.19397,0.725638491,5.149788474,0.277523466,0.130633349,35.26973483,1.053108722,9.189058094,11.76404564,0.212445612,,,,,,,,
04/06/16,572.72699,0.77401439,2.808975531,0.181825719,0.299688271,24.22930312,0.972100358,11.72323634,15.04703512,0.174205402,,,,,,,,
05/06/16,574.97699,0.725638491,3.745300709,0.14354662,0.138317663,31.58959093,1.01260454,11.72323634,12.85837546,7.54758E-18,,,,,,,,
06/06/16,585.536987,0.77401439,6.320194946,0.363651438,0.268951012,41.40330799,1.01260454,6.654879848,6.292396503,0.271930383,,,,,,,,
07/06/16,576.596985,0.77401439,5.500910416,0.507198058,0.399584361,41.40330799,1.01260454,6.654879848,4.10373685,0.233690173,,,,,,,,
08/06/16,581.64502,0.580510792,5.617951063,0.334942114,0.292003956,41.40330799,1.01260454,5.387790725,8.481056157,0.131716279,,,,,,,,
09/06/16,574.630005,0.628886692,6.320194946,0.363651438,0.353478473,37.72316409,1.053108722,11.72323634,7.38672633,0.212445612,,,,,,,,
10/06/16,577.469971,0.483758994,5.852032357,0.258383916,0.491796137,27.90944702,0.931596177,5.387790725,8.481056157,0.169956489,,,,,,,,
11/06/16,606.72699,0.580510792,2.926016179,0.133976845,0.491796137,18.09572996,0.850587814,9.189058094,13.95270529,0.046738035,,,,,,,,
12/06/16,672.783997,1.402901082,3.043056826,0.181825719,0.438005934,20.54915922,1.25562963,7.921968971,10.66971581,0.135965191,,,,,,,,
13/06/16,704.375977,1.886660076,5.383869769,0.401930536,0.361162788,32.81630556,1.498654719,7.921968971,6.292396503,0.314419505,,,,,,,,
14/06/16,685.559021,1.451276981,6.320194946,0.258383916,0.683904002,34.04302019,1.660671445,9.189058094,4.10373685,0.208196699,,,,,,,,
15/06/16,694.468994,1.161021585,7.724682711,0.191395493,0.537902024,35.26973483,1.741679809,9.189058094,6.292396503,0.148711928,,,,,,,,
16/06/16,766.307983,1.886660076,8.426926594,0.363651438,0.476427507,31.58959093,1.863192353,11.72323634,6.292396503,0.229441261,,,,,,,,
17/06/16,748.908997,1.886660076,7.37356077,0.507198058,0.584007912,26.68273239,4.05041816,12.99032546,11.76404564,0.242187997,,,,,,,,
18/06/16,756.22699,1.354525182,4.213463297,0.248814142,0.484111822,16.86901532,3.645376344,12.99032546,15.04703512,0.212445612,,,,,,,,
19/06/16,763.781006,1.015893887,3.628260061,0.133976845,0.73000989,25.45601776,2.632771804,7.921968971,11.76404564,0.237939085,,,,,,,,
20/06/16,737.226013,1.209397484,8.895089183,0.488058508,0.345794159,30.36287629,2.146721625,9.189058094,6.292396503,0.288926032,,,,,,,,
21/06/16,666.651978,1.644780579,7.490601417,0.344511888,0.445690249,35.26973483,1.944200717,7.921968971,7.38672633,0.225192348,,,,,,,,
22/06/16,596.116028,1.209397484,7.37356077,0.373221212,0.545586339,36.49644946,2.065713261,10.45614722,7.38672633,0.148711928,,,,,,,,
23/06/16,623.97699,1.402901082,7.724682711,0.30623279,0.453374563,36.49644946,1.620167264,9.189058094,12.85837546,0.216694524,,,,,,,,
24/06/16,665.299011,2.273667271,4.09642265,0.220104818,0.430321619,89.2451787,1.539158901,31.99666231,51.1599194,0.259183646,,,,,,,,
25/06/16,665.122986,1.402901082,2.808975531,0.296663015,0.461058878,46.31016653,1.174621266,18.05868196,23.80167373,0.267681471,,,,,,,,
26/06/16,629.367004,0.919142088,3.160097473,0.114837296,0.607060856,35.26973483,1.215125448,16.79159283,13.95270529,0.055235859,,,,,,,,
